Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
Concordia Venus,8.29,66.42,2018,3.02,2,6,60,120,12,Strategy
Twilight Imperium: Third Edition,7.8,178.95,2005,4.26,3,6,180,240,14,Strategy
Russian Railroads,7.74,229.99,2013,3.4,2,4,120,120,13,Strategy
Patchwork,7.6,27.99,2014,1.6,2,2,15,30,8,Abstract
Trajan,7.75,43.84,2011,3.64,2,4,60,120,12,Strategy
Carnegie,8.04,63.85,2022,3.83,1,4,90,120,12,Strategy
Oathsworn: Into the Deepwood,9.08,649.99,2022,3.57,1,4,30,90,14,Thematic
Rising Sun,7.78,109.99,2018,3.3,3,5,90,120,14,Strategy
Dominion,7.6,38.34,2008,2.35,2,4,30,30,13,Strategy
Aeon's End: War Eternal,8.28,38.62,2017,2.92,1,4,60,60,14,Strategy
Dwellings of Eldervale,8.2,75.61,2020,3.26,1,5,60,150,14,Strategy
Age of Steam,7.84,102.12,2002,3.88,1,6,120,120,13,Strategy
Vinhos: Deluxe Edition,8.11,116.2,2016,4.02,1,4,60,135,14,Strategy
The Quest for El Dorado,7.67,27.95,2017,1.93,2,4,30,60,10,Family
Clank! In! Space!: A Deck-Building Adventure,7.8,79.95,2017,2.55,2,4,45,90,12,Family
The Isle of Cats,7.73,34.99,2019,2.36,1,4,60,90,8,Family
Pandemic: Iberia,7.89,45.95,2016,2.58,2,5,45,45,8,Strategy
Hansa Teutonica,7.73,50.37,2009,3.1,2,5,45,90,12,Strategy
Codenames,7.55,12.39,2015,1.26,2,8,15,15,14,Party
Forbidden Stars,7.98,87.71,2015,3.84,2,4,120,180,14,Strategy
Yokohama,7.82,47.62,2016,3.31,2,4,90,90,14,Strategy
Champions of Midgard,7.73,54.99,2015,2.61,2,4,60,90,10,Strategy
PARKS,7.68,44.99,2019,2.13,1,5,30,60,10,Family
Roll for the Galaxy,7.6,52.18,2014,2.78,2,5,45,45,13,Strategy
Cartographers,7.62,19.99,2019,1.88,1,100,30,45,10,Family
Pandemic,7.54,28.43,2008,2.4,2,4,45,45,8,Family
Res Arcana,7.66,34.45,2019,2.63,2,4,30,60,12,Strategy
Targi,7.62,19.93,2012,2.34,2,2,60,60,12,Strategy
SCOUT,7.8,23,2019,1.35,2,5,15,15,9,Family
Watergate,7.8,26.99,2019,2.26,2,2,30,60,12,Strategy
Just One,7.6,16.61,2018,1.04,3,7,20,60,8,Party
Rajas of the Ganges,7.73,45.4,2017,2.89,2,4,45,75,12,Strategy
Alchemists,7.65,59.95,2014,3.93,2,4,120,120,13,Strategy
Star Realms,7.56,11.99,2014,1.93,2,2,20,20,12,Strategy
Ra,7.59,83.17,1999,2.34,2,5,45,60,12,Abstract
It's a Wonderful World,7.69,46.53,2019,2.31,1,5,30,60,14,Strategy
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.65,57.99,1982,2.68,1,8,60,120,13,Thematic
Kemet,7.66,59.75,2012,3,2,5,90,120,13,Strategy
Praga Caput Regni,7.94,73.99,2020,3.75,1,4,45,150,14,Strategy
Endeavor: Age of Sail,7.9,127.93,2018,2.85,2,5,60,90,13,Strategy
Hadrian's Wall,8.01,54.9,2021,3.13,1,6,30,60,12,Strategy
Stone Age,7.53,54.99,2008,2.46,2,4,60,90,10,Family
Ticket to Ride: Europe,7.53,31.83,2005,1.92,2,5,30,60,8,Family
Legendary Encounters: An Alien Deck Building Game,7.76,52.16,2014,2.7,1,5,30,60,17,Thematic
Terraforming Mars: Ares Expedition,7.7,33.94,2021,2.92,1,4,45,60,14,Strategy
The Lord of the Rings: The Card Game,7.66,74.93,2011,3.21,1,2,30,60,13,Strategy
Marco Polo II: In the Service of the Khan,7.98,58.21,2019,3.38,2,4,60,120,12,Strategy
Star Wars: X-Wing Miniatures Game,7.64,56.99,2012,2.49,2,2,30,45,14,Abstract
Magic: The Gathering,7.57,77.49,1993,3.25,2,2,20,20,13,Strategy
Tyrants of the Underdark,7.91,37.5,2016,2.55,2,4,60,60,14,Strategy
Viscounts of the West Kingdom,7.86,55.8,2020,3.45,1,4,60,90,12,Strategy
Undaunted: Normandy,7.81,42.54,2019,2.25,2,2,45,60,14,Strategy
Istanbul,7.55,69.99,2014,2.58,2,5,40,60,10,Family
Glen More II: Chronicles,7.92,84.99,2019,3.03,2,4,90,120,12,Strategy
